 5  :			    Thick-,			     Angle,			      Prog,			   Current,			     Volts,			      Feed,			      Kerf,			      Kerf,			      Kerf,			      Kerf,			 LEADTABLE,			     Coner,			     Coner,			     Coner,			     Coner,			    Leadin,			    Leadin,			   LeadOut,			   Leadout,			          ,			BlindBevel,			BlindBevel,			BlindBevel,			BlindBevel,			          ,			     Bevel,			    PreCut,			   Pre Cut,			          ,			          ,			Arc Radius,			Arc Radius,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			DO NOT MODIFY,			 Verified1,			   BevType,			 Verified2,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 5  :			      ness,			     (Deg),			     Angle,			    (amps),			(not used),			      rate,			 Top Knife,			Bottom Knife,			  Top Land,			Bottom Land,			[DELIMITER],			      Loop,			      Loop,			      Loop,			      Loop,			    Length,			  Length 2,			    Length,			  Length 2,			          ,			  LoopType,			      Size,			      Type,			      Size,			          ,			    PreCut,			    Size 1,			    Size 2,			          ,			          ,			    Leadin,			   Leadout,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			             ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 5  :			      (mm),			          ,			     (Deg),			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			      Type,			     Angle,			    Size 1,			    Size 2,			          ,			          ,			          ,			          ,			          ,			        IN,			        IN,			       OUT,			       OUT,			          ,			          ,			          ,			          ,			          ,			          ,			  Internal,			  Internal,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			             ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			         8,			        45,			        45,			       130,			       135,			      2200,			         0,			          ,			         0,			          ,			 LEADTABLE,			 LINE2OPEN,			        30,			         8,			         8,			         4,			         4,			         4,			         4,			          ,			  LINEOPEN,			         8,			  LINEOPEN,			         8,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -45,			       -45,			       130,			       138,			      1650,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         1,			        -1,			         1,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -40,			       -40,			       130,			       138,			      1650,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -35,			       -35,			       130,			       138,			      2200,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -30,			       -30,			       130,			       138,			      2200,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -25,			       -25,			       130,			       138,			      2680,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -20,			       -20,			       130,			       138,			      2680,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -15,			       -15,			       130,			       138,			      2680,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			       -10,			       -10,			       130,			       138,			      2680,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
 10 :			        10,			        -5,			        -5,			       130,			       138,			      2680,			          ,			         0,			          ,			         0,			 LEADTABLE,			 LINE2OPEN,			        30,			        10,			        10,			         5,			         5,			         5,			         5,			          ,			  LINEOPEN,			        10,			  LINEOPEN,			        10,			          ,			      NONE,			         0,			         0,			          ,			          ,			         0,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			     VERIFIED,			         0,			        -1,			         0,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			          ,			
